Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,2018-01-01T00:00:00Z
User End Date:,2025-01-31T23:59:59Z
User Bounding Box:,"90.1,23.5,90.8,24.1"
Data Bounding Box:,"90.625,23.5,90.625,24"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-01-01T00:00:00Z&endtime=2025-01-31T23:59:59Z&bbox=90.1,23.5,90.8,24.1&data=M2T1NXAER_5_12_4_TOTSMASS25%2CM2T1NXAER_5_12_4_TOTEXTTAU%2CM2T1NXAER_5_12_4_TOTCMASS25&dataKeyword=AOD&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2T1NXAER_5_12_4_TOTSMASS25
2018-01-15 21:30:00,1.38942573e-07
2018-01-15 22:30:00,1.38136603e-07
2018-01-15 23:30:00,1.37112701e-07
2018-01-16 00:30:00,1.3617398e-07
2018-01-16 01:30:00,1.346854e-07
2018-01-16 02:30:00,1.28635253e-07
2018-01-16 03:30:00,1.39046304e-07
2018-01-16 04:30:00,1.31447614e-07
2018-01-16 05:30:00,1.193474e-07
2018-01-16 06:30:00,1.38561671e-07
2018-01-16 07:30:00,1.2429043e-07
2018-01-16 08:30:00,1.1483519e-07
2018-01-16 09:30:00,1.09432101e-07
2018-01-16 10:30:00,1.08487786e-07
2018-01-16 11:30:00,1.10786079e-07
2018-01-16 12:30:00,1.14439216e-07
2018-01-16 13:30:00,1.19050208e-07
2018-01-16 14:30:00,1.24195294e-07
2018-01-16 15:30:00,1.28515015e-07
2018-01-16 16:30:00,1.31773011e-07
2018-01-16 17:30:00,1.34763073e-07
2018-01-16 18:30:00,1.37916042e-07
2018-01-16 19:30:00,1.41281892e-07
2018-01-16 20:30:00,1.44655655e-07
2018-01-16 21:30:00,1.47939272e-07
2018-01-16 22:30:00,1.51051149e-07
2018-01-16 23:30:00,1.53783839e-07
2018-01-17 00:30:00,1.55637745e-07
2018-01-17 01:30:00,1.55389407e-07
2018-01-17 02:30:00,1.49103646e-07
2018-01-17 03:30:00,1.40358129e-07
2018-01-17 04:30:00,1.26768109e-07
2018-01-17 05:30:00,1.14570524e-07
2018-01-17 06:30:00,9.68873146e-08
2018-01-17 07:30:00,9.27639264e-08
2018-01-17 08:30:00,9.11586078e-08
2018-01-17 09:30:00,8.87724051e-08
2018-01-17 10:30:00,9.16899353e-08
2018-01-17 11:30:00,9.66314679e-08
2018-01-17 12:30:00,1.02049133e-07
2018-01-17 13:30:00,1.06945304e-07
2018-01-17 14:30:00,1.10320059e-07
2018-01-17 15:30:00,1.12180506e-07
2018-01-17 16:30:00,1.13197927e-07
2018-01-17 17:30:00,1.13929406e-07
2018-01-17 18:30:00,1.14678319e-07
2018-01-17 19:30:00,1.15662595e-07
2018-01-17 20:30:00,1.16904799e-07
