date,pm2_5_mean,pm2_5_max,wind_speed_mean,wind_u_mean,wind_v_mean,temperature_mean,rh_mean,blh_mean,precip_sum,aod_extinction,merra2_surf_pm25_ugm3,aod_missing,pm25_lag7,season
12/3/2022,48.61666667,69.8,8.104166667,-5.407737445,5.465611712,20.72916667,69.29166667,336.25,0,0.291132371,45.54072948,0,65.00833333,Winter
12/4/2022,45.54583333,55.6,7.470833333,-4.769697627,5.542972383,20.89583333,73.33333333,341.875,0,0.360679636,57.16867366,0,79.25833333,Winter
12/5/2022,48.71666667,61.2,7.033333333,-5.030106254,3.888212808,21.05833333,73.125,320.8333333,0,0.252025404,42.48481703,0,72.23333333,Winter
12/6/2022,48.22083333,58.7,7.675,-5.312557645,5.138091287,20.9875,72.20833333,352.5,0,0.295019939,47.82146326,0,79.87916667,Winter
12/7/2022,62.72916667,91.3,8.291666667,-5.147212481,6.167378057,20.75833333,69.70833333,381.875,0,0.514929134,70.92601585,0,76.27083333,Winter
12/8/2022,64.3875,78.2,7.241666667,-3.435572129,5.727295647,20.825,70.75,355.2083333,0,0.329243458,51.60890916,0,39.55833333,Winter
12/9/2022,74.3625,113.4,6.95,-4.060482185,4.536057382,20.15416667,71.79166667,312.0833333,0,0.344939313,45.90264628,0,44.875,Winter
12/10/2022,75.125,107.1,7.191666667,-4.025160385,5.049057957,20.10833333,72.04166667,330,0,0.267587278,40.60415708,0,48.61666667,Winter
12/11/2022,52.9625,79.4,7.466666667,-4.519620725,5.345076755,20.78333333,71.625,326.875,0,0.33942422,53.54198778,0,45.54583333,Winter
12/12/2022,100.0333333,148.5,7.533333333,-3.66658562,4.950068984,20.13333333,72.95833333,352.5,0,0.835702943,127.8379641,0,48.71666667,Winter
12/13/2022,88.81666667,147.6,6.870833333,-1.609521513,5.182785769,20.94166667,71.75,330.8333333,0,1.085024913,135.7277544,0,48.22083333,Winter
12/14/2022,0.7125,0.8,5.625,-1.459993216,2.330235523,20.84583333,73.95833333,348.9583333,0,1.333485673,155.5376502,0,62.72916667,Winter
